"","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","open.days","Monday.hour","Tuesday.hour","Thursday.hour","Wednesday.hour","Friday.hour","Saturday.hour","Sunday.hour"
"1","15:0-23:0","15:0-23:0","15:0-23:0","15:0-23:0","11:0-1:0","11:0-1:0","11:0-23:0",7,8,8,8,8,14,14,12
"2","11:30-2:0","11:30-2:0","11:30-2:0","11:30-2:0","11:30-2:0","11:30-2:0","11:30-2:0",7,14.5,14.5,14.5,14.5,14.5,14.5,14.5
"3","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-1:0","11:0-1:0","11:0-0:0",7,13,13,13,13,14,14,13
"4",NA,NA,"11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0",5,NA,NA,9,9,9,9,9
"5","16:0-23:0","16:0-23:0","16:0-23:0","16:0-23:0","16:0-0:0","16:0-0:0",NA,6,7,7,7,7,8,8,NA
"6",NA,"11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-23:0",6,NA,12,13,12,13,13,12
"7","16:0-1:0","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0",7,9,10,10,10,10,10,10
"8","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0",NA,6,9,9,9,9,9,9,NA
"9","8:0-19:0","8:0-19:0","8:0-19:0","8:0-19:0","8:0-19:0","8:0-19:0","10:0-18:0",7,11,11,11,11,11,11,8
"10",NA,"17:0-2:30","17:0-2:30","17:0-2:30","17:0-2:30","17:0-2:30",NA,5,NA,9.5,9.5,9.5,9.5,9.5,NA
"11","16:0-22:0","15:30-22:0","16:0-22:15","15:30-21:30","10:0-19:0","8:30-15:0","17:30-21:0",7,6,6.5,6,6.25,9,6.5,3.5
"12","19:0-2:0","19:0-2:0","19:0-2:0","19:0-2:0","19:0-2:0","19:0-2:0","19:0-2:0",7,7,7,7,7,7,7,7
"13","20:0-2:30","20:0-2:30","20:0-2:30","20:0-2:30","20:0-2:30","15:0-2:30",NA,6,6.5,6.5,6.5,6.5,6.5,11.5,NA
"14",NA,NA,"11:0-21:0","11:0-21:0","11:0-21:0","17:0-22:0",NA,4,NA,NA,10,10,10,5,NA
"15",NA,"11:0-20:0","11:0-20:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-19:0",6,NA,9,11,9,11,11,8
"16","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","10:0-3:0","10:0-3:0","10:0-2:0",7,16,16,16,16,17,17,16
"17",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"18",NA,"16:0-1:0","16:0-1:0","16:0-1:0","16:0-1:0","16:0-1:0","16:0-22:0",6,NA,9,9,9,9,9,6
"19",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"21","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","11:0-2:0","12:0-2:0",7,9,9,9,9,9,15,14
"22","6:0-21:0","6:0-21:0","6:0-21:0","6:0-21:0","6:0-20:0","6:0-21:0","6:0-21:0",7,15,15,15,15,14,15,15
"23","9:0-22:30","9:0-10:30","9:0-22:30","9:0-22:30","9:0-22:30","9:0-22:30","9:0-22:30",7,13.5,1.5,13.5,13.5,13.5,13.5,13.5
"24","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-22:0",7,11,11,12,11,13,13,11
"25","7:0-18:0","7:0-18:0","7:0-20:0","7:0-18:0","7:0-18:0","8:0-17:0","9:0-15:0",7,11,11,11,13,11,9,6
"26",NA,"9:0-21:0","9:0-21:0","9:0-21:0","9:0-17:0","9:0-17:0",NA,5,NA,12,12,12,8,8,NA
"27",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"28","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-2:0","7:0-2:0","8:0-23:0",7,17,17,17,17,19,19,15
"29","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-21:0","11:0-21:0","16:30-18:0",7,9,9,9,9,10,10,1.5
"30","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:30","11:0-22:30","11:0-22:0",7,11,11,11,11,11.5,11.5,11
"31","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0",NA,NA,5,10,10,10,10,10,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"33","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","12:0-23:0",7,12,12,12,12,13,13,11
"34","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-20:0",7,12,12,12,12,13,13,9
"35","16:0-20:0","12:0-20:0","12:0-20:0","12:0-20:0","12:0-20:0","11:0-20:0",NA,6,4,8,8,8,8,9,NA
"36",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"37","0:0-0:0","10:0-17:0","11:0-17:0","10:0-21:0","10:0-21:30","10:0-21:30","11:0-18:0",7,0,7,11,6,11.5,11.5,7
"38","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",7,0,0,0,0,0,0,0
"39","16:0-1:0","16:0-1:0","16:0-1:0","16:0-1:0","16:0-2:0","16:0-2:0","12:0-0:0",7,9,9,9,9,10,10,12
