business_id,name
pQeaRpvuhoEqudo3uymHIQ,The Empanadas House
7Dv4_HAxsxvadEsT5fxQBg,Dependable Brakes & Exhaust
M_guz7Dj7hX0evS672wIwA,Chocolate Shoppe Ice Cream
03x6ZlJ7s39DHqfTJU1Ecg,Beechmont Country Club
_4Oe9V-qTpU5iemM9bphlA,Goodyear Auto Service Center
98hyK2QEUeI8v2y0AghfZA,Pho Lee's Vietnamese Restaurant
tLpkSwdtqqoXwU0JAGnApw,Wendy's
lK-wuiq8b1TuU7bfbQZgsg,Hingetown
ZkzutF0P_u0C0yTulwaHkA,Lelulos Pizzeria
UyZqOcWxShRRtACCkZFkpQ,Local Pet
7j0kor_fkeYhyEpXh4OpnQ,Scramblers - Strongsville
UiyjUa8CQmygujhe-ZYlsw,Movers 4 Less Inc
efdPLo00sOD-1Wf77hg5jQ,TruGreen Lawn Care
a6d7UcYnRvbr4t-THg4pSQ,The Pub
dU0puD3USCFPpxfDqqIHOg,Granite Grille at Shale Creek Golf Club
8Hvp1tYKiQbBgGIwkCRK5g,Tony's Family Restaurant
39lLJK_rrYY2NYomSsQdUA,Marco's Pizza
0y6alZmSLnPzmG5_kP5Quw,J J's Pizza
OGVHlFHSXjHuioOvm1wVqg,The Jackman Bar & Restaurant
utjb7V7VK5QNdHjMP7H1kw,Shear Sensations Hair and Body Care Salon
yJy0EFyCBKwVF8Wiwh-dpQ,Moving Forward
MPly2nhjIjF5ZRevu97qqA,Target
rzd_2GJpkvHPejEwJ-IKHg,Somer's Restaurant
ou3C2Cnot1gitNoQIu5Uag,Walgreens
TyeLUMLGRcp3mtBlkS5jpA,50 Shades of Polish
GvCblda5MdYBqNFBUlHuyg,Barb's Country Junction Cafe
LKF5QS7BQ8oaXnTUaK_mzg,Budget Transmissions
NsI5c1lObLgFnmOtKX70hw,Munson Road State Beverage
oCbk_T5eyc3KB0iT6T5q9w,Criminal Customz
sm5Sl7z9Kx1yXExrdGuZ7g,Cho Buffet
wU3wVPC2RQLS_zW-pe83tw,Barrel Lodge Bar & Grill
wUJKd2F96rWx8ydeI5C0uA,Abrams Eye Center
N77wW4L0pyP6InzwzEV7Eg,Edwards Beauty Cle
qIKrN5ENU-QvFj9qZWArdA,All My Sons Moving & Storage
goar7zF4G0LdsQ1Y4KS3Iw,Pittsburgh Barbecue Company
1_VZR-M44VcvKVrfAyyZAA,Bethesda Thrift Shop
0nBHHn3eTSNsLVecCJ4YSA,Olympia Candies
gd94d5l-24OeVdwfC0t6hA,Master Mechanical
oxeE2SxY5oZ23PgOvkWmug,PsychBC - North Olmsted
-LfTBo0oa_uD454ScEW2XA,Merry Ann's Diner
Rfu2hW3nRqe6eL0YbUQV7g,Wanda Roche & Associates
GDf1SI_SnW93_lJN__egrQ,Kings
CfwrsG76Wm4iLS22v_wAcg,McDonald's
46DJ0U2WNhoEUA81_N0zZA,Menyhart Plumbing & Heating Supply
2mOTYP7Fc77oIIMQglAY6A,Madison Modern Market
zS1Sso93bzlpZcTGFWfoMg,Pandora
grZ6FnfZoj1pQWElAQve3g,Wendy's
zknkYNmeoQLnOq9uShlwcw,Air Rite Service
q8967a_rhSOwVI0olMNJqw,Rupert Cornelius
1QG4JRQhm1pZQSPu7Axcog,Tatman's Towing
koYr-CUnhf_glSdGymUqJA,Habitat For Humanity ReStore - North Randall
MN0_qgCZxGhXjFVcghhfTg,Revel Salon
xmQI8hN7lWjtfRTfM9CdFA,"David M Petti, DMD- Smiles Forever Family Dentistry"
_Kp1IPTi17wBywYOd30raA,Pizza Hut
