"","V1","V2"
"1","u'full_bar'","full_bar"
"2","u'full_bar'",NA
"3",NA,NA
"4","u'none'","none"
"5","u'full_bar'","full_bar"
"6","u'full_bar'",NA
"7","'full_bar'","full_bar"
"8","u'none'","none"
"9","'none'",NA
"10","u'full_bar'",NA
"11",NA,NA
"12",NA,NA
"13","u'full_bar'","full_bar"
"14","u'full_bar'",NA
"15","u'none'",NA
"16","u'full_bar'",NA
"17","u'full_bar'","full_bar"
"18","u'full_bar'",NA
"19","u'full_bar'","full_bar"
"20","'full_bar'",NA
"21","u'full_bar'","full_bar"
"22",NA,NA
"23",NA,NA
"24","u'full_bar'",NA
"25","u'none'",NA
"26",NA,NA
"27","u'full_bar'","full_bar"
"28","u'full_bar'",NA
"29","'none'",NA
"30","u'none'","none"
"31","u'none'",NA
"32",NA,NA
"33",NA,NA
"34","u'full_bar'",NA
"35","u'beer_and_wine'","beer_and_wine"
"36","'full_bar'",NA
"37",NA,NA
"38","'full_bar'",NA
"39","u'full_bar'","full_bar"
"40","u'full_bar'",NA
"41","u'full_bar'","full_bar"
"42","'none'","none"
"43","u'full_bar'","full_bar"
"44","'beer_and_wine'",NA
"45","u'full_bar'","full_bar"
"46","u'full_bar'",NA
"47",NA,NA
"48","u'full_bar'",NA
"49","u'full_bar'","full_bar"
"50","u'full_bar'",NA
"51","'full_bar'","full_bar"
"52",NA,NA
"53","u'full_bar'","full_bar"
"54","u'none'","none"
"55","u'full_bar'","full_bar"
"56","'full_bar'",NA
"57",NA,NA
"58",NA,NA
"59","u'full_bar'","full_bar"
"60",NA,NA
"61","u'full_bar'","full_bar"
"62","u'full_bar'",NA
"63",NA,NA
"64",NA,NA
"65","u'none'",NA
"66",NA,NA
"67","u'full_bar'","full_bar"
"68","u'full_bar'",NA
"69","u'full_bar'","full_bar"
"70",NA,NA
"71","u'full_bar'","full_bar"
"72",NA,NA
"73","u'full_bar'","full_bar"
"74","u'full_bar'",NA
"75","'full_bar'","full_bar"
"76","u'full_bar'",NA
"77","'beer_and_wine'","beer_and_wine"
"78","u'full_bar'",NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82","u'full_bar'",NA
"83","u'full_bar'","full_bar"
"84","u'full_bar'",NA
"85","'beer_and_wine'","beer_and_wine"
"86","u'full_bar'",NA
"87",NA,NA
"88",NA,NA
"89","'full_bar'","full_bar"
"90",NA,NA
"91","u'full_bar'","full_bar"
"92",NA,NA
"93","u'full_bar'","full_bar"
"94","u'full_bar'",NA
"95","u'none'",NA
"96","u'full_bar'",NA
"97",NA,NA
"98","u'full_bar'",NA
"99",NA,NA
"100","'full_bar'",NA
"101",NA,NA
"102","'beer_and_wine'",NA
"103",NA,NA
"104","u'full_bar'",NA
"105",NA,NA
"106","u'full_bar'",NA
"107","u'full_bar'","full_bar"
"108","u'full_bar'",NA
"109","u'full_bar'","full_bar"
